"";"Horodateur";"Gender";"Age";"Country";"Highest level of education attained";"Have you ever been diving or snorkeling?";"How would you evaluate your knowledge of coral reefs?";"Do you have problems with color perception?";"If you wish to exercise your right of withdrawal, please contact Gita ALISA gitaalisa0808@gmail.com with the following code :"
"1244";2023-06-04;"Male";26;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_fa5513272ab0d6783ff84daef63a02d8"
"1245";2023-06-04;"Female";25;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_51e04d076948da6adcc4fac8df0ea6ba"
"1246";2023-06-04;"Female";32;"Australia";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_3f4b5dd22533d96a32760a93135c6af7"
"1247";2023-06-04;"Male";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_4deb13a056427e53accd87b7f5e137a3"
"1248";2023-06-04;"Male";23;"Indonesia";"Master's degree";"Only snorkeling";"Low";"No";"C_15_judge_844acb7eb6ecc27c25fb550696f80bac"
"1249";2023-06-04;"Male";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_8a308e9b7bfbc2e6e6e0e26ea0fd618a"
"1250";2023-06-04;"Male";34;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_1863911c15def1ef7051cfbf24cd91da"
"1251";2023-06-04;"Male";20;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_939ff4325c6ea794936f2b01cf0ad88b"
"1252";2023-06-04;"Female";31;"Philippines";"Master's degree";"Never";"Average";"No";"C_15_judge_912500389fbe286824d111a760a5eec2"
"1253";2023-06-04;"Female";19;"Indonesia";"High school graduate";"Never";"Low";"No";"C_15_judge_97d873c157e4b1fbfe65f77a7467c7f0"
"1254";2023-06-04;"Female";21;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_86f3eccf3abed3d2b42df0cb343bf6a3"
"1255";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_0e1eebbc779312c24f4314a73dcc2abe"
"1256";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_5b564b7eec4d11f225d8eb21078e91d4"
"1257";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_23a99e4101763578890550ae1aba7a1d"
"1258";2023-06-04;"Female";20;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_65ab5af133b90158d92bbd1ec2d71fc5"
"1259";2023-06-04;"Male";20;"Indonesia";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_ecd377907bd7205a0bfa997d2fba5b7a"
"1260";2023-06-04;"Female";19;"Indonesia";"High school graduate";"Only diving";"Good";"No";"C_15_judge_4a1b55ca3f8acbf8078bfcdf59b7c0e3"
"1261";2023-06-04;"Male";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_a54060e043a2c3cd3b8fa0688a74d720"
"1262";2023-06-04;"Female";19;"Indonesia";"Master's degree";"Never";"Average";"No";"C_15_judge_29acb10b2ecabbd69dc9a6a7b3551fdb"
"1263";2023-06-04;"Male";19;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"Yes";"C_15_judge_587712b5608f35a29270db8d9d7518bc"
"1264";2023-06-04;"Male";21;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_9c0181b66f2799113e40cbd8b2f2c3eb"
"1265";2023-06-04;"Male";20;"Indonesia";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_c60e312fb327c064cb704da5ea6f105c"
"1266";2023-06-04;"Female";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_5eefeb86171c0b31a41600146f17950b"
"1267";2023-06-04;"Female";22;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7706e7c572f190b398b6ecf90951d3ca"
"1268";2023-06-04;"Female";24;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e94e6b75d0b25901e74b5ca5d675a520"
"1269";2023-06-04;"Male";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_9fe3c60794e293d1219182239bc131ab"
"1270";2023-06-04;"Male";23;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_6da95f18d85039de4c5d29b9ef749d83"
"1271";2023-06-04;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_270e3bc23e556b4132176d585003d765"
"1272";2023-06-04;"Female";19;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_64d34730771dead7d73c4984a4cb16cd"
"1273";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_0ab5561030e001b79adb0f730b627d3b"
"1274";2023-06-04;"Female";23;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_c9b2ae47f60d5b37c96514cdab87a383"
"1275";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_bb722859605ff7d460553a5d1d7b8e0c"
"1276";2023-06-04;"Male";25;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_e312af6ad7ac94d8c89c4bf048536341"
"1277";2023-06-04;"Female";21;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_dcd742c50050da6fc70b884a65430473"
"1278";2023-06-04;"Female";20;"Indonesia";"High school graduate";"Never";"Low";"No";"C_15_judge_9554ab223a29b444750e2ac5e56c1451"
"1279";2023-06-04;"Female";20;"Indonesia";"High school graduate";"Never";"Low";"No";"C_15_judge_60fe73a577c656d52c685c6d7e2891b9"
"1280";2023-06-04;"Female";19;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Good";"No";"C_15_judge_30429a51a490f66809d789d89caf379d"
"1281";2023-06-04;"Female";20;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_21bc54e77623ca0fd370405b460d658f"
"1282";2023-06-04;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_3b42e19ade3b75860193352f7e28e4d1"
"1283";2023-06-04;"Male";21;"Indonesia";"High school graduate";"Never";"Low";"No";"C_15_judge_7434389cf809d57df02dc5e912d4f284"
"1284";2023-06-04;"Male";21;"Indonesia";"High school graduate";"Never";"Good";"No";"C_15_judge_01c17891d2660b4fefa359177f27ebba"
"1285";2023-06-04;"Male";21;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_b42c7feb590cf86ae88ae28a4d69868a"
"1286";2023-06-04;"Female";23;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_5a1c3b7019b545d48d5dd7eae0c9ce43"
"1287";2023-06-04;"Male";27;"Australia";"High school graduate";"Never";"Poor";"No";"C_15_judge_14e3ba93f352bdaba2454c2e26235318"
"1288";2023-06-04;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_ecaa5991e0cc67c466bbbedbb8806be8"
"1289";2023-06-05;"Female";44;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_9979e7b8e6581145387532e9b393bf37"
"1290";2023-06-05;"Female";21;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_9c411c98f5840b6c4b865c8026e777ee"
"1291";2023-06-05;"Female";21;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";NA
"1292";2023-06-05;"Female";19;"Indonesia";"None";"Never";"Average";"No";"C_15_judge_3ebf6b7849541c4b2e82b8dab9211fd7"
"1293";2023-06-05;"Female";19;"Indonesia";"High school graduate";"Only diving";"Good";"No";"C_15_judge_416f8fbe57c2779e57105bd84b8d4a12"
"1294";2023-06-05;"Male";21;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_e662b8e14767e85bea9a42e87a60f9ef"
"1295";2023-06-05;"Male";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_0a7a3f98285a80201cb135745bb6cf11"
"1296";2023-06-05;"Male";20;"Indonesia";"None";"Both diving and snorkeling";"Good";"No";"C_15_judge_a89e04f9dc7ebdfda7c0e6ead967f454"
"1297";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Low";"Yes";"C_15_judge_97851e884de9b65d6eeb67a872cd9f38"
"1298";2023-06-05;"Male";20;"Indonesia";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_0330649375095dab2939dc736b59e534"
"1299";2023-06-05;"Male";20;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_8d5b557672c532fc79ee3612518f7614"
"1300";2023-06-05;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_99bbd02fe5e2e407f2e6bbbaa45d0057"
"1301";2023-06-05;"Female";19;"Indonesia";"Associate's and/or Bachelor's degree";"Only snorkeling";"Good";"No";"C_15_judge_e310842281c4774be43f5f3c33bd854b"
"1302";2023-06-05;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Good";"No";NA
"1303";2023-06-05;"Male";19;"Indonesia";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_c21c45582ee847438aa3d9dbef5cf88d"
"1304";2023-06-05;"Male";20;"Indonesia";"High school graduate";"Only snorkeling";"Low";"No";NA
"1305";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_ae3322b04103e14c2dff4a1c2a27b3d0"
"1306";2023-06-05;"Female";21;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_a53da5c3fe76498361141b12556136b3"
"1307";2023-06-05;"Male";19;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_3bdece59e001c1db5ee1befeff829038"
"1308";2023-06-05;"Female";19;"Malaysia";"High school graduate";"Both diving and snorkeling";"Average";"No";"C_15_judge_6f3d2b7f510cdcc99a0cee68361f9952"
"1309";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_12641470c273c27f77e4a158731b4d90"
"1310";2023-06-05;"Male";19;"Indonesia";"High school graduate";"Only snorkeling";"Low";"No";"C_15_judge_fb92d2989f3cd6e5ea4ba16892580a83"
"1311";2023-06-05;"Male";20;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_3bbc58bc6f6366973919b02d40f4a642"
"1312";2023-06-05;"Female";21;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_7346636aef27930f34c2c7cb97d12436"
"1313";2023-06-05;"Female";20;"Indonesia";"Associate's and/or Bachelor's degree";"Only diving";"Average";"No";"C_15_judge_29e887af6dc7291744eb9b2d606d17cf"
"1314";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_7019ef820c19bf1ebfad0f1836dc17ea"
"1315";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Good";"No";"C_15_judge_5736b2e44fe9bf6bc4ff6ffff071e4d3"
"1316";2023-06-05;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_8debfed6b1493a10e3cde24546ce6061"
"1317";2023-06-05;"Female";19;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_988974fb555ec887eeb5a253156093ff"
"1318";2023-06-05;"Male";19;"Indonesia";"Associate's and/or Bachelor's degree";"Only diving";"Average";"No";"C_15_judge_81d3898eaca4aff459463f216e07bdaf"
"1319";2023-06-05;"Male";30;"Germany";"Master's degree";"Never";"Average";"No";"C_15_judge_d0025a89d56fad818903e373ddb4cb4f"
"1320";2023-06-05;"Male";35;"Italy";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7ea615fb6c02708e88028583a4ecf30b"
"1321";2023-06-05;"Female";24;"Indonesia";"Master's degree";"Never";"Average";"No";"C_15_judge_0cd31391750cfa282207c21aece1cf94"
"1322";2023-06-05;"Female";40;"France";"Associate's and/or Bachelor's degree";"Never";"Poor";"No";"C_15_judge_210ecba11ad1b50f6463ee0d38bd018c"
"1323";2023-06-05;"Other";18;"United Kingdom";"High school graduate";"Only snorkeling";"Good";"No";"C_15_judge_5ac7faffde6140e8c564574575b23340"
"1324";2023-06-05;"Male";31;"United Kingdom";"Associate's and/or Bachelor's degree";"Only snorkeling";"Excellent";"No";"C_15_judge_20229d3ee93fa98fdd916eeafab583ed"
"1325";2023-06-05;"Female";48;"United Kingdom";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_6ed83046b59e2208c8bba9d103d758f8"
"1326";2023-06-05;"Male";43;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"Yes";"C_15_judge_2e8e17218f5e171ee0f45abe769a0f74"
"1327";2023-06-05;"Female";24;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_db1198a7aef8b2e76513f08c90867b06"
"1328";2023-06-05;"Male";47;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"Yes";"C_15_judge_2bb41afe28390f775b78505e6ad50af1"
"1329";2023-06-05;"Female";30;"United States";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_6adbcf0be6725189db33ac04f901bd95"
"1330";2023-06-05;"Male";34;"United States";"Doctoral or Professional degree";"Only snorkeling";"Low";"No";"C_15_judge_894b0c7ee5a52e12757b53aeaeaaa208"
"1331";2023-06-05;"Female";23;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_425c3160715cbffa703bc125a50ff5b4"
"1332";2023-06-05;"Female";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_6a30f43326e3f17c3dfda23edecf9166"
"1333";2023-06-05;"Male";26;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_a19ff567fc9ada3026881af1884096b1"
"1334";2023-06-06;"Other";16;"United States";"None";"Only snorkeling";"Good";"No";"C_15_judge_60e22dd571843269ff8f1c8727a5c1c4"
"1335";2023-06-06;"Female";38;"Papua New Guinea";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_4f9a451a0dfd18a159fc1f8ef0ff8c62"
"1336";2023-06-06;"Female";24;"United States";"Master's degree";"Only snorkeling";"Average";"No";"C_15_judge_b3b955a18e8535d571fbd1ad124bd66e"
"1337";2023-06-06;"Female";39;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_8271651ef2ba5739874d00f3ad04d2ba"
"1338";2023-06-06;"Male";44;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_2bc7ebb268cc4b1a7ef8a628f3c1c331"
"1339";2023-06-06;"Male";44;"Thailand";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_b4c9a0ed32a9b7069bc26e5c6dd759bc"
"1340";2023-06-06;"Female";46;"United Kingdom";"Doctoral or Professional degree";"Only snorkeling";"Average";"No";"C_15_judge_666844691631eff88fae81494c0c600f"
"1341";2023-06-06;"Female";40;"United Kingdom";"Doctoral or Professional degree";"Never";"Low";"No";"C_15_judge_50aea78669a15805fd11de64aaff69fc"
"1342";2023-06-06;"Female";38;"Thailand";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_2eeca62037f710a3e299b7f46239e88e"
"1343";2023-06-06;"Female";35;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_a845cfa20122d990c836da6bc39edd5e"
"1344";2023-06-06;"Female";39;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_2e6677028e22cc73b930680ec5b5efb2"
"1345";2023-06-06;"Female";52;"Germany";"Doctoral or Professional degree";"Only snorkeling";"Poor";"No";"C_15_judge_11336762946028458aa764c9d6eab415"
"1346";2023-06-06;"Male";20;"United States";"High school graduate";"Never";"Low";"No";"C_15_judge_fe26dc8ac58046bce761b1b0be3c46bb"
"1347";2023-06-06;"Male";57;"United Kingdom";"High school graduate";"Both diving and snorkeling";"Low";"No";"C_15_judge_4150497e2bc5aabc5004c446da3b8e72"
"1348";2023-06-06;"Female";39;"Germany";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_15e7c6bd46935b7bc0ea4bd3c0f608f5"
"1349";2023-06-07;"Female";38;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_42a593a783573d8ae1ef06c05d2f75fc"
"1350";2023-06-07;"Female";52;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7fe2aed66c9edf7496c8122eb4796389"
"1351";2023-06-07;"Female";36;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_1c15d5013561635eaeda2d7c5b524d2c"
"1352";2023-06-07;"Female";42;"Canada";"Master's degree";"Only snorkeling";"Poor";"No";"C_15_judge_124c7af5aad0686188af56b5d44d9948"
"1353";2023-06-07;"Female";51;"Canada";"Doctoral or Professional degree";"Only snorkeling";"Good";"No";"C_15_judge_6602f90a5492f83c837f9f573521d149"
"1354";2023-06-07;"Female";46;"Canada";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_16c08c8351be4bc2ea8a14584567ef07"
"1355";2023-06-07;"Female";14;"Canada";"None";"Never";"Poor";"No";"C_15_judge_d303ab3f942ae67e529033d18f65485b"
"1356";2023-06-07;"Male";70;"United States";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"Yes";"C_15_judge_dff7b2d9cebca7d3a80c8d8862d795f0"
"1357";2023-06-07;"Male";31;"Canada";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7e9eb6dc28212d0751fe642e10e95630"
"1358";2023-06-07;"Female";13;"Canada";"None";"Never";"Average";"No";"C_15_judge_8f0d02ca09afbdbdfefc3bcc16ce2c18"
"1359";2023-06-07;"Female";38;"Canada";"Associate's and/or Bachelor's degree";"Only snorkeling";"Poor";"No";"C_15_judge_69f3d7cc0237252e0c8d46bdb6fcb83d"
"1360";2023-06-07;"Female";34;"Canada";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_5fac4457671faf7fdd25276bba3bf793"
"1361";2023-06-07;"Female";50;"Canada";"Associate's and/or Bachelor's degree";"Never";"Average";"No";"C_15_judge_67479870c132f56ea85faec51810e58b"
"1362";2023-06-07;"Female";37;"Canada";"Associate's and/or Bachelor's degree";"Never";"Low";"No";"C_15_judge_3f8f16cd10dd08b9685c8b01b1603584"
"1363";2023-06-08;"Male";36;"Indonesia";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_17c45b83cafd0a063908a91832abbe2e"
"1364";2023-06-08;"Female";12;"Canada";"None";"Never";"Excellent";"No";"C_15_judge_5239e3b394d49e356db70ddfebefe3a0"
"1365";2023-06-08;"Female";33;"Australia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_39c5e44971edd407082ed4ef5ab3ae07"
"1366";2023-06-08;"Female";35;"Canada";"Associate's and/or Bachelor's degree";"Only snorkeling";"Average";"No";"C_15_judge_10fd3cf4b6f805c20b0e67e88212943f"
"1367";2023-06-08;"Female";9;"Canada";"None";"Never";"Low";"No";"C_15_judge_45b2143407648ae9254bd50b8fb82396"
"1368";2023-06-08;"Male";9;"Canada";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e11fb5b43b60d665136dddc718805136"
"1369";2023-06-08;"Male";10;"Canada";"Professional certificate";"Never";"Excellent";"No";"C_15_judge_17cb364d1b352cec7c7b83adcc01c57a"
"1370";2023-06-08;"Female";10;"Canada";"None";"Never";"Poor";"No";"C_15_judge_a0ac4269c10ad8a45177394507c89732"
"1371";2023-06-08;"Male";10;"Canada";"Professional certificate";"Never";"Excellent";"No";NA
"1372";2023-06-08;"Male";10;"Canada";"None";"Never";"Excellent";"No";"C_15_judge_44d4c78ca2251b8f37553e26ad8a0b00"
"1373";2023-06-08;"Female";10;"Canada";"None";"Never";"Good";"No";"C_15_judge_b17f442699b3ccaafa94ecfd228d2495"
"1374";2023-06-08;"Male";10;"Canada";"None";"Never";"Low";"No";"C_15_judge_b3649e9c0e19bd6cbcf03069270a5ee6"
"1375";2023-06-08;"Female";9;"Canada";"High school graduate";"Never";"Poor";"No";"C_15_judge_54848bde00ad9a853bb123f0817232ea"
"1376";2023-06-08;"Male";9;"Canada";"None";"Never";"Poor";"No";"C_15_judge_f652ea4194d2ca0ed13f516adf23b984"
"1377";2023-06-08;"Male";10;"Canada";"None";"Never";"Low";"No";"C_15_judge_0f7cd1d560112215252f982b10bbccba"
"1378";2023-06-08;"Male";10;"Canada";"None";"Never";"Good";"No";"C_15_judge_0484dd37d710355378884f82f79b018d"
"1379";2023-06-08;"Female";10;"Canada";"None";"Never";"Good";"Yes";"C_15_judge_1a8ac6094ff7a89af4bf90ea4477c151"
"1380";2023-06-08;"Female";64;"United Kingdom";"Professional certificate";"Never";"Poor";"No";"C_15_judge_8be19674dcd77abba93c4217450dae8d"
"1381";2023-06-08;"Female";24;"Mayotte";"Associate's and/or Bachelor's degree";"Only diving";"Good";"No";"C_15_judge_96295d6be3a0fa8067e94114a64e4f9e"
"1382";2023-06-09;"Female";31;"United States";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_ae265840396e8b939a7079129863af53"
"1383";2023-06-09;"Female";26;"El Salvador";"Master's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_101b27828b650fbd5aa0db3d631bd9d3"
"1384";2023-06-09;"Male";35;"Malaysia";"Master's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_c3ec823a42023d7bbdf8a5397accdadc"
"1385";2023-06-09;"Female";27;"Indonesia";"Master's degree";"Both diving and snorkeling";"Excellent";"Yes";"C_15_judge_8d51aedf58f18bb65acdf706a18594db"
"1386";2023-06-09;"Female";36;"France";"Master's degree";"Only snorkeling";"Poor";"No";"C_15_judge_cf6d7d0de8db929161d8bb6c2f0fe0f5"
"1387";2023-06-09;"Male";11;"Canada";"None";"Only snorkeling";"Average";"No";"C_15_judge_6fcd86f76a4906991f051ba5d48bd537"
"1388";2023-06-09;"Female";11;"Canada";"None";"Only snorkeling";"Poor";"No";"C_15_judge_9a893f7d9f27703369ba5a2858e25049"
"1389";2023-06-09;"Male";10;"Canada";"None";"Never";"Average";"No";"C_15_judge_240260d9f6dadf41a21c91734782c7ed"
"1390";2023-06-09;"Male";11;"Canada";"None";"Never";"Poor";"No";"C_15_judge_0a75878037607133379057a313e57100"
"1391";2023-06-09;"Male";11;"Canada";"None";"Only snorkeling";"Low";"No";"C_15_judge_48d6e2e95d1330d8b1de731b24b6df77"
"1392";2023-06-09;"Female";12;"Canada";"None";"Never";"Poor";"No";"C_15_judge_30fd5f52878f3a3b8ddba5434e43d159"
"1393";2023-06-09;"Male";11;"Canada";"None";"Only diving";"Poor";"No";"C_15_judge_2bd49a90e916582ec1763ea235d5e197"
"1394";2023-06-09;"Female";21;"United Kingdom";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_c3f7d236ad5569c145deee5812c22168"
"1395";2023-06-09;"Female";12;"Canada";"None";"Only snorkeling";"Average";"No";"C_15_judge_9f6889541fa5682ab8f2b106e337db40"
"1396";2023-06-09;"Other";11;"Canada";"None";"Never";"Average";"No";"C_15_judge_c02af220685509a9f81743a64f7d2367"
"1397";2023-06-09;"Male";25;"Canada";"Master's degree";"Never";"Poor";"No";"C_15_judge_ca1b31169361f623e3a7f157d43d8fc2"
"1398";2023-06-10;"Male";27;"France";"Master's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_b6b8aa14b9eeab488669b433a59a2194"
"1399";2023-06-10;"Male";51;"United Kingdom";"Associate's and/or Bachelor's degree";"Only snorkeling";"Poor";"No";"C_15_judge_04b492bca3a8155d4df4ed1712d4c07a"
"1400";2023-06-10;"Male";32;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_e999c35845d7def71d1ab6c957ed0dfa"
"1401";2023-06-11;"Female";23;"Indonesia";"Associate's and/or Bachelor's degree";"Only diving";"Average";"No";"C_15_judge_34ad731fe37bb62438f0ab027d3bd2c6"
"1402";2023-06-11;"Female";57;"United Kingdom";"Doctoral or Professional degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_24c8b86edd235eac6134c458b2c0a4b2"
"1403";2023-06-11;"Female";24;"Indonesia";"High school graduate";"Never";"Low";"No";"C_15_judge_d2568ab0757dd68b17e2d6c33fd5c480"
"1404";2023-06-11;"Female";24;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"No";"C_15_judge_f99a8cf7d26d513ce07156c57fcb51f8"
"1405";2023-06-11;"Male";27;"Italy";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_7a42b6e8885d327105eaf38997e0e854"
"1406";2023-06-11;"Female";57;"United Kingdom";"Associate's and/or Bachelor's degree";"Only snorkeling";"Low";"No";"C_15_judge_4b7dfd799a2b4997d46b19a02046f9b1"
"1407";2023-06-12;"Male";24;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Excellent";"No";"C_15_judge_374a951302969fb5741df04150c2c9bb"
"1408";2023-06-12;"Female";56;"United Kingdom";"Professional certificate";"Never";"Low";"No";"C_15_judge_c4810572486c3753e9653d9e9dd10ded"
"1409";2023-06-12;"Male";20;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Good";"No";"C_15_judge_ce5abcbf9b77d1e1ec97f9f34fa43023"
"1410";2023-06-12;"Male";20;"Indonesia";"High school graduate";"Never";"Average";"No";"C_15_judge_f0693bd9c6491dd3d19f2f1f7f40755a"
"1411";2023-06-12;"Female";20;"French Southern Territories";"High school graduate";"Never";"Good";"No";"C_15_judge_b91cf37b09eb49419603240854dc77b0"
"1412";2023-06-12;"Female";24;"Indonesia";"Associate's and/or Bachelor's degree";"Both diving and snorkeling";"Average";"Yes";"C_15_judge_391315e6f312573e0521009263b2b688"
"1413";2023-06-12;"Male";34;"Indonesia";"High school graduate";"Only snorkeling";"Average";"No";"C_15_judge_b8c055c12f552714dec4b2a1d89782b1"
"1414";2023-06-12;"Female";23;"United Kingdom";"Master's degree";"Never";"Low";"No";"C_15_judge_147e8411079f5180951523a400b2c47f"
"1415";2023-06-12;"Female";27;"France";"Master's degree";"Never";"Low";"No";"C_15_judge_4cb1e87cde95e13ab9713f85d14d8a95"
"1416";2023-06-12;"Female";25;"Indonesia";"Associate's and/or Bachelor's degree";"Never";"Good";"No";"C_15_judge_5f7e4498cb7237086eae213f75e598bf"
"1417";2023-06-12;"Male";61;"Belgium";"Master's degree";"Both diving and snorkeling";"Low";"No";"C_15_judge_486f9424d9e7b2a39fc7a3fb56a98901"
